MST.time,DO.obs,DO.sat,depth,temp.water,light,discharge,site.loc_rep,elev,lat,long,dist.d100,date.time_Q_Z,obsDO.satprct
m/d/yyyy h:mm:ss,mgO2 L^-1,mgO2 L^-1,m,degC,umol m^-2 s^-1,m^3 s^-1,,m,lat n,long w,m,m/d/yyyy h:mm:ss,%
7/3/2019 17:01,8.439,,0.095,11.013,1098.565,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.385
7/3/2019 17:06,8.44,,0.095,10.977,1922.504,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.314
7/3/2019 17:11,8.464,,0.095,10.977,1647.858,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.591
7/3/2019 17:16,8.477,,0.095,11.049,2471.797,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.905
7/3/2019 17:21,8.471,,0.095,11.094,2197.151,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.939
7/3/2019 17:26,8.448,,0.095,11.076,1235.889,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.632
7/3/2019 17:31,8.453,,0.095,11.022,720.942,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.567
7/3/2019 17:36,8.436,,0.095,11.004,617.944,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.329
7/3/2019 17:41,8.442,,0.095,10.986,394.807,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.358
7/3/2019 17:46,8.461,,0.095,11.031,1922.504,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.68
7/3/2019 17:51,8.464,,0.095,11.076,3158.393,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.817
7/3/2019 17:56,8.446,,0.095,11.112,4394.301,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.691
7/3/2019 18:01,8.436,,0.095,11.121,3570.362,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.596
7/3/2019 18:06,8.423,,0.095,11.103,3570.362,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.405
7/3/2019 18:11,8.436,,0.095,11.094,6591.452,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.534
7/3/2019 18:16,8.419,,0.095,11.094,3570.362,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.338
7/3/2019 18:21,8.422,,0.095,11.085,4394.301,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.352
7/3/2019 18:26,8.405,,0.095,11.112,1716.53,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.217
7/3/2019 18:31,8.407,,0.095,11.103,1716.53,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.22
7/3/2019 18:36,8.426,,0.095,11.094,2128.479,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.419
7/3/2019 18:41,8.409,,0.095,11.121,3295.716,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.284
7/3/2019 18:46,8.427,,0.095,11.121,3707.685,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.492
7/3/2019 18:51,8.436,,0.095,11.13,1647.858,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.616
7/3/2019 18:56,8.429,,0.095,11.121,1922.504,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.515
7/3/2019 19:01,8.422,,0.095,11.121,1922.504,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.434
7/3/2019 19:06,8.429,,0.095,11.112,1441.883,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.494
7/3/2019 19:11,8.417,,0.095,11.076,2609.12,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.274
7/3/2019 19:16,8.419,,0.095,11.04,1853.853,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.215
7/3/2019 19:21,8.418,,0.095,11.013,1716.53,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.142
7/3/2019 19:26,8.418,,0.095,10.977,1922.504,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.06
7/3/2019 19:31,8.427,,0.095,10.923,3295.716,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.041
7/3/2019 19:36,8.421,,0.095,10.914,2883.766,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.952
7/3/2019 19:41,8.432,,0.095,10.86,4119.655,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.956
7/3/2019 19:46,8.442,,0.095,10.833,4943.594,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,97.009
7/3/2019 19:51,8.444,,0.095,10.778,4119.655,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.907
7/3/2019 19:56,8.449,,0.095,10.733,3707.685,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.862
7/3/2019 20:01,8.447,,0.095,10.679,2197.151,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.716
7/3/2019 20:06,8.459,,0.095,10.634,2059.827,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.751
7/3/2019 20:11,8.474,,0.095,10.579,1235.889,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.797
7/3/2019 20:16,8.47,,0.095,10.579,1716.53,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.752
7/3/2019 20:21,8.479,,0.095,10.534,2883.766,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.752
7/3/2019 20:26,8.491,,0.095,10.489,617.944,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.786
7/3/2019 20:31,8.483,,0.095,10.461,926.916,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.631
7/3/2019 20:36,8.493,,0.095,10.416,1029.914,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.642
7/3/2019 20:41,8.505,,0.095,10.371,1098.565,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.676
7/3/2019 20:46,8.504,,0.095,10.352,652.27,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.621
7/3/2019 20:51,8.507,,0.095,10.316,274.646,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.573
7/3/2019 20:56,8.513,,0.095,10.298,429.132,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.6
7/3/2019 21:01,8.52,,0.095,10.261,429.132,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.594
7/3/2019 21:06,8.522,,0.095,10.234,858.265,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.555
7/3/2019 21:11,8.525,,0.095,10.179,995.588,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.463
7/3/2019 21:16,8.533,,0.095,10.143,720.942,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.471
7/3/2019 21:21,8.538,,0.095,10.125,686.616,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.487
7/3/2019 21:26,8.549,,0.095,10.079,259.616,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.506
7/3/2019 21:31,8.56,,0.095,10.043,266.055,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.547
7/3/2019 21:36,8.552,,0.095,10.043,171.649,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.457
7/3/2019 21:41,8.579,,0.095,9.997,244.606,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.656
7/3/2019 21:46,8.567,,0.095,9.96,223.158,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.435
7/3/2019 21:51,8.576,,0.095,9.924,195.25,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.454
7/3/2019 21:56,8.589,,0.095,9.887,145.895,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.515
7/3/2019 22:01,8.605,,0.095,9.869,208.128,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.653
7/3/2019 22:06,8.606,,0.095,9.841,152.333,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.6
7/3/2019 22:11,8.6,,0.095,9.851,141.609,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.556
7/3/2019 22:16,8.603,,0.095,9.823,32.193,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.525
7/3/2019 22:21,8.624,,0.095,9.768,15.01,0.0321,ElkU100_1,1942,44° 55.827' N,110° 26.435' W,248,7/5/2019 12:13,96.633
