MST.time,DO.obs,DO.sat,depth,temp.water,light,discharge,site.loc_rep,elev,lat,long,dist.d100,date.time_Q_Z,obsDO.satprct
m/d/yyyy h:mm:ss,mgO2 L^-1,mgO2 L^-1,m,degC,umol m^-2 s^-1,m^3 s^-1,,m,lat n,long w,m,m/d/yyyy h:mm:ss,%
7/9/2019 12:14:52,8.302,0.932,0.288,10.11,15380.05,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,94.73
7/9/2019 12:19:52,8.318,0.932,0.288,10.14,4668.95,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,94.97
7/9/2019 12:24:52,8.311,0.932,0.288,10.27,4119.65,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.20
7/9/2019 12:29:52,8.297,0.932,0.288,10.35,43942.99,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.20
7/9/2019 12:34:52,8.289,0.932,0.288,10.41,3707.69,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.25
7/9/2019 12:39:52,8.269,0.932,0.288,10.49,7690.02,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.21
7/9/2019 12:44:52,8.249,0.932,0.288,10.52,3570.36,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.04
7/9/2019 12:49:52,8.243,0.932,0.288,10.48,17577.21,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,94.89
7/9/2019 12:54:52,8.254,0.932,0.288,10.46,17577.21,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,94.97
7/9/2019 12:59:52,8.265,0.932,0.288,10.54,17027.91,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.26
7/9/2019 13:04:52,8.222,0.932,0.288,10.79,2883.77,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.33
7/9/2019 13:09:52,8.205,0.932,0.288,10.84,6316.81,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.26
7/9/2019 13:14:52,8.2,0.932,0.288,10.91,4943.59,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.34
7/9/2019 13:19:52,8.185,0.932,0.288,11.03,3982.33,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.43
7/9/2019 13:24:52,8.157,0.931,0.288,11.18,5218.24,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.44
7/9/2019 13:29:52,8.151,0.931,0.288,11.26,2883.77,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.55
7/9/2019 13:34:52,8.162,0.932,0.288,11.27,4943.59,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.70
7/9/2019 13:39:52,8.11,0.931,0.288,11.36,3021.09,0.3263,WBXD5_1,2073,44° 56.359' N,110° 34.608' W,64.5,7/9/2019 11:33:00,95.29
