MST.time,DO.obs,DO.sat,depth,temp.water,light,discharge,site.loc_rep,elev,lat,long,dist.d100,date.time_Q_Z,obsDO.satprct
m/d/yyyy h:mm:ss,mgO2 L^-1,mgO2 L^-1,m,degC,umol m^-2 s^-1,m^3 s^-1,,m,lat n,long w,m,m/d/yyyy h:mm:ss,%
7/9/2019 13:46,8.058,,0.201,11.317,5218.2,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.99
7/9/2019 13:51,8.068,,0.201,11.263,5767.5,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.99
7/9/2019 13:56,8.087,,0.201,11.245,7415.4,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.17
7/9/2019 14:01,8.08,,0.201,11.299,23070.1,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.21
7/9/2019 14:06,8.081,,0.201,11.263,5218.2,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.14
7/9/2019 14:11,8.095,,0.201,11.236,8514,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.24
7/9/2019 14:16,8.099,,0.201,11.317,11535,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.47
7/9/2019 14:21,8.075,,0.201,11.353,4668.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.27
7/9/2019 14:26,8.066,,0.201,11.317,7140.7,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.08
7/9/2019 14:31,8.078,,0.201,11.407,24168.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.42
7/9/2019 14:36,8.062,,0.201,11.398,5492.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.21
7/9/2019 14:41,8.091,,0.201,11.424,21971.5,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.61
7/9/2019 14:46,8.076,,0.201,11.594,24168.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.81
7/9/2019 14:51,8.066,,0.201,11.577,5218.2,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.66
7/9/2019 14:56,8.031,,0.201,11.657,4394.3,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.42
7/9/2019 15:01,8.021,,0.201,11.728,20872.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.46
7/9/2019 15:06,8.037,,0.201,11.8,23070.1,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.81
7/9/2019 15:11,8.011,,0.201,11.924,20872.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.77
7/9/2019 15:16,7.978,,0.201,11.871,3982.3,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.26
7/9/2019 15:21,7.955,,0.201,11.924,4394.3,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.1
7/9/2019 15:26,7.957,,0.201,11.88,4668.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.03
7/9/2019 15:31,7.941,,0.201,12.013,20872.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.13
7/9/2019 15:36,7.928,,0.201,12.013,3707.7,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.97
7/9/2019 15:41,7.951,,0.201,12.067,16478.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.37
7/9/2019 15:46,7.954,,0.201,12.12,4394.3,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.52
7/9/2019 15:51,7.927,,0.201,12.217,9337.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.41
7/9/2019 15:56,7.898,,0.201,12.191,2334.5,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95
7/9/2019 16:01,7.889,,0.201,12.155,3295.7,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.81
7/9/2019 16:06,7.899,,0.201,12.2,7690,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.03
7/9/2019 16:11,7.889,,0.201,12.102,2471.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.7
7/9/2019 16:16,7.929,,0.201,12.129,2883.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,95.24
7/9/2019 16:21,7.906,,0.201,12.129,2471.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.96
7/9/2019 16:26,7.877,,0.201,12.129,1853.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.61
7/9/2019 16:31,7.877,,0.201,12.164,2128.5,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.69
7/9/2019 16:36,7.87,,0.201,12.191,2471.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.66
7/9/2019 16:41,7.9,,0.201,12.155,3707.7,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.95
7/9/2019 16:46,7.888,,0.201,12.111,1853.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.71
7/9/2019 16:51,7.886,,0.201,12.129,2471.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.72
7/9/2019 16:56,7.891,,0.201,12.12,2059.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.76
7/9/2019 17:01,7.914,,0.201,12.084,3158.4,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.96
7/9/2019 17:06,7.875,,0.201,12.111,1647.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.55
7/9/2019 17:11,7.904,,0.201,12.067,1922.5,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.8
7/9/2019 17:16,7.886,,0.201,12.084,1441.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.62
7/9/2019 17:21,7.922,,0.201,11.987,1647.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.84
7/9/2019 17:26,7.903,,0.201,12.04,1853.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.73
7/9/2019 17:31,7.9,,0.201,12.022,2059.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.66
7/9/2019 17:36,7.909,,0.201,12.058,2471.8,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.84
7/9/2019 17:41,7.92,,0.201,12.049,1922.5,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.95
7/9/2019 17:46,7.896,,0.201,12.093,1304.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.76
7/9/2019 17:51,7.869,,0.201,12.164,652.3,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.59
7/9/2019 17:56,7.888,,0.201,12.049,995.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.57
7/9/2019 18:01,7.889,,0.201,12.022,789.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.52
7/9/2019 18:06,7.861,,0.201,12.111,686.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.38
7/9/2019 18:11,7.876,,0.201,12.093,1098.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.52
7/9/2019 18:16,7.881,,0.201,12.102,789.6,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.6
7/9/2019 18:21,7.838,,0.201,12.209,720.9,0.1064,WBXU100_1,2084,44° 56.319' N,110° 34.568' W,200,7/9/2019 12:40,94.32
